branch,v10_06_00_01p01,v10_06_00_04p04,n_files_present
recTree/rec.mc.nu.plane.1.0.nhit,1,1,2
recTree/rec.mc.nu.plane.1.0.nhitprim,1,1,2
recTree/rec.mc.nu.plane.1.0.visE,1,1,2
recTree/rec.mc.nu.plane.1.1.nhit,1,1,2
recTree/rec.mc.nu.plane.1.1.nhitprim,1,1,2
recTree/rec.mc.nu.plane.1.1.visE,1,1,2
recTree/rec.mc.nu.plane.1.2.nhit,1,1,2
recTree/rec.mc.nu.plane.1.2.nhitprim,1,1,2
recTree/rec.mc.nu.plane.1.2.visE,1,1,2
recTree/rec.mc.nu.position.x,1,1,2
recTree/rec.mc.nu.position.y,1,1,2
recTree/rec.mc.nu.position.z,1,1,2
recTree/rec.mc.nu.prim..idx,1,1,2
recTree/rec.mc.nu.prim..length,1,1,2
recTree/rec.mc.nu.prim..totarraysize,1,1,2
recTree/rec.mc.nu.prim.G4ID,1,1,2
recTree/rec.mc.nu.prim.cont_tpc,1,1,2
recTree/rec.mc.nu.prim.contained,1,1,2
recTree/rec.mc.nu.prim.crosses_tpc,1,1,2
recTree/rec.mc.nu.prim.cryostat,1,1,2
recTree/rec.mc.nu.prim.daughters,1,1,2
recTree/rec.mc.nu.prim.daughters..idx,1,1,2
recTree/rec.mc.nu.prim.daughters..length,1,1,2
recTree/rec.mc.nu.prim.daughters..totarraysize,1,1,2
recTree/rec.mc.nu.prim.end.x,1,1,2
recTree/rec.mc.nu.prim.end.y,1,1,2
recTree/rec.mc.nu.prim.end.z,1,1,2
recTree/rec.mc.nu.prim.endE,1,1,2
recTree/rec.mc.nu.prim.endT,1,1,2
recTree/rec.mc.nu.prim.end_process,1,1,2
recTree/rec.mc.nu.prim.endp.x,1,1,2
recTree/rec.mc.nu.prim.endp.y,1,1,2
recTree/rec.mc.nu.prim.endp.z,1,1,2
recTree/rec.mc.nu.prim.gen.x,1,1,2
recTree/rec.mc.nu.prim.gen.y,1,1,2
recTree/rec.mc.nu.prim.gen.z,1,1,2
recTree/rec.mc.nu.prim.genE,1,1,2
recTree/rec.mc.nu.prim.genT,1,1,2
recTree/rec.mc.nu.prim.generator,1,1,2
recTree/rec.mc.nu.prim.genp.x,1,1,2
recTree/rec.mc.nu.prim.genp.y,1,1,2
recTree/rec.mc.nu.prim.genp.z,1,1,2
recTree/rec.mc.nu.prim.gstatus,1,1,2
recTree/rec.mc.nu.prim.interaction_id,1,1,2
recTree/rec.mc.nu.prim.length,1,1,2
recTree/rec.mc.nu.prim.parent,1,1,2
recTree/rec.mc.nu.prim.pdg,1,1,2
recTree/rec.mc.nu.prim.plane.0.0.nhit,1,1,2
recTree/rec.mc.nu.prim.plane.0.0.visE,1,1,2
recTree/rec.mc.nu.prim.plane.0.1.nhit,1,1,2
recTree/rec.mc.nu.prim.plane.0.1.visE,1,1,2
recTree/rec.mc.nu.prim.plane.0.2.nhit,1,1,2
recTree/rec.mc.nu.prim.plane.0.2.visE,1,1,2
recTree/rec.mc.nu.prim.plane.1.0.nhit,1,1,2
recTree/rec.mc.nu.prim.plane.1.0.visE,1,1,2
recTree/rec.mc.nu.prim.plane.1.1.nhit,1,1,2
recTree/rec.mc.nu.prim.plane.1.1.visE,1,1,2
recTree/rec.mc.nu.prim.plane.1.2.nhit,1,1,2
recTree/rec.mc.nu.prim.plane.1.2.visE,1,1,2
recTree/rec.mc.nu.prim.start.x,1,1,2
recTree/rec.mc.nu.prim.start.y,1,1,2
recTree/rec.mc.nu.prim.start.z,1,1,2
recTree/rec.mc.nu.prim.startE,1,1,2
recTree/rec.mc.nu.prim.startT,1,1,2
recTree/rec.mc.nu.prim.start_process,1,1,2
recTree/rec.mc.nu.prim.startp.x,1,1,2
recTree/rec.mc.nu.prim.startp.y,1,1,2
recTree/rec.mc.nu.prim.startp.z,1,1,2
recTree/rec.mc.nu.prim.wallin,1,1,2
recTree/rec.mc.nu.prim.wallout,1,1,2
recTree/rec.mc.nu.prod_vtx.x,1,1,2
recTree/rec.mc.nu.prod_vtx.y,1,1,2
recTree/rec.mc.nu.prod_vtx.z,1,1,2
recTree/rec.mc.nu.q0,1,1,2
recTree/rec.mc.nu.q0_lab,1,1,2
recTree/rec.mc.nu.resnum,1,1,2
recTree/rec.mc.nu.t,1,1,2
recTree/rec.mc.nu.targetPDG,1,1,2
recTree/rec.mc.nu.time,1,1,2
recTree/rec.mc.nu.vtx.x,1,1,2
recTree/rec.mc.nu.vtx.y,1,1,2
recTree/rec.mc.nu.vtx.z,1,1,2
recTree/rec.mc.nu.w,1,1,2
recTree/rec.mc.nu.wgt..idx,1,1,2
recTree/rec.mc.nu.wgt..length,1,1,2
recTree/rec.mc.nu.wgt..totarraysize,1,1,2
recTree/rec.mc.nu.wgt.univ,1,1,2
recTree/rec.mc.nu.wgt.univ..idx,1,1,2
recTree/rec.mc.nu.wgt.univ..length,1,1,2
recTree/rec.mc.nu.wgt.univ..totarraysize,1,1,2
recTree/rec.mc.nu.xsec,1,1,2
recTree/rec.mc.prtl..length,1,1,2
recTree/rec.mc.prtl.C1,1,1,2
recTree/rec.mc.prtl.C2,1,1,2
recTree/rec.mc.prtl.C3,1,1,2
recTree/rec.mc.prtl.C4,1,1,2
recTree/rec.mc.prtl.C5,1,1,2
recTree/rec.mc.prtl.E,1,1,2
recTree/rec.mc.prtl.M,1,1,2
recTree/rec.mc.prtl.allowed_decay_fraction,1,1,2
recTree/rec.mc.prtl.cryostat,1,1,2
recTree/rec.mc.prtl.decay_length,1,1,2
recTree/rec.mc.prtl.decay_weight,1,1,2
recTree/rec.mc.prtl.enter.x,1,1,2
recTree/rec.mc.prtl.enter.y,1,1,2
recTree/rec.mc.prtl.enter.z,1,1,2
recTree/rec.mc.prtl.exit.x,1,1,2
recTree/rec.mc.prtl.exit.y,1,1,2
recTree/rec.mc.prtl.exit.z,1,1,2
recTree/rec.mc.prtl.flux_weight,1,1,2
recTree/rec.mc.prtl.gen,1,1,2
recTree/rec.mc.prtl.momentum.x,1,1,2
recTree/rec.mc.prtl.momentum.y,1,1,2
recTree/rec.mc.prtl.momentum.z,1,1,2
recTree/rec.mc.prtl.position.x,1,1,2
recTree/rec.mc.prtl.position.y,1,1,2
recTree/rec.mc.prtl.position.z,1,1,2
recTree/rec.mc.prtl.ray_weight,1,1,2
recTree/rec.mc.prtl.start.x,1,1,2
recTree/rec.mc.prtl.start.y,1,1,2
recTree/rec.mc.prtl.start.z,1,1,2
recTree/rec.mc.prtl.time,1,1,2
recTree/rec.ncrt_hits,1,1,2
recTree/rec.ncrt_spacepoints,1,1,2
recTree/rec.ncrt_tracks,1,1,2
recTree/rec.ncrtpmt_matches,1,1,2
recTree/rec.nfake_reco,1,1,2
recTree/rec.nopflashes,1,1,2
recTree/rec.nsbnd_crt_tracks,1,1,2
recTree/rec.nslc,1,1,2
recTree/rec.ntrue_particles,1,1,2
recTree/rec.opflashes..length,1,1,2
recTree/rec.opflashes.center.x,1,1,2
recTree/rec.opflashes.center.y,1,1,2
recTree/rec.opflashes.center.z,1,1,2
recTree/rec.opflashes.cryo,1,1,2
recTree/rec.opflashes.fasttototal,1,1,2
recTree/rec.opflashes.firstpmt,1,1,2
recTree/rec.opflashes.firsttime,1,1,2
recTree/rec.opflashes.onbeamtime,1,1,2
recTree/rec.opflashes.peperwall.0,1,1,2
recTree/rec.opflashes.peperwall.1,1,1,2
recTree/rec.opflashes.time,1,1,2
recTree/rec.opflashes.timemean,1,1,2
recTree/rec.opflashes.timesd,1,1,2
recTree/rec.opflashes.timewidth,1,1,2
recTree/rec.opflashes.totalpe,1,1,2
recTree/rec.opflashes.tpc,1,1,2
recTree/rec.opflashes.width.x,1,1,2
